name,type,state,city,lat,long,status,founded_month,founded_year,summarize,cancel_reason,cancel_time,link
High Sierra Music Festival,Music,CA,Quincy,39.9309945,-120.953573947289,Active,July,1991,,,,
Florida Azalea Festival,Nature,FL,Palatka,29.6487882,-81.6372111,Active,March,1938,,,,
Highland County Maple Festival,Nature,VA,Highland County,38.3860395,-79.5179853057402,Active,March,1958,,,,
Highway 61 Film Festival,Film,MN,Pine City,45.8260672,-92.9685423,Active,April,2011,,,,
HONK!,Music,NY,New York City,40.7308619,-73.9871558,Active,October,2015,,,,
Hopscotch Music Festival,Music,NC,Raleigh,35.7803977,-78.6390989,Active,September,2010,,,,
Hot August Blues Festival,Music,KY,Aurora,36.7767204,-88.1441967,Active,August,1990,,,,
Hotel Carolina,Music,SC,Isle of Palms,32.7867697,-79.7880359,Active,June,2009,,,,
Houston Beer Fest,Beer,TX,Houston,29.7589382,-95.3676974,Active,July,2011,,,,
Houston Livestock Show and Rodeo,Sport,TX,Houston,29.7589382,-95.3676974,Active,February;March,1931,,,,
Houston Shakespeare Festival,Art,TX,Houston,29.7589382,-95.3676974,Active,April;May;June;July;August,1975,,,,
How Weird Street Faire,Alternative,CA,San Francisco Bay Area,37.7884969,-122.3558473,Active,May,2000,,,,
Hudson Valley Ribfest,Food,NY,New Paltz,41.7464972,-74.0844894,Active,August,2004,,,,
Hudson Valley Shakespeare Festival,Art,NY,Garrison,41.3839827,-73.945694,Active,June;July;August,1986,,,,
Hungarian Festival,Culture,NJ,New Brunswick,40.4862174,-74.4518173,Active,June,1975,,,,
Idaho Shakespeare Festival,Art,ID,Boise,43.61656,-116.200835,Active,June;July;August;September,1977,,,,
Idyllwild International Festival of Cinema,Film,CA,Idyllwild-Pine Cove,33.7435011,-116.723778028571,Active,March,2009,,,,
Illinois Shakespeare Festival,Art,IN,Normal,40.4650386,-85.8252595,Active,June;July;August,1978,,,,
Imagine Music Festival,Music,GA,Atlanta,33.7490987,-84.3901849,Active,September,2014,,,,
India International Film Festival (IIFF) of Tampa Bay,Film,FL,Tampa,27.9477595,-82.458444,Inactive,August,2009,Unknow,Stoped since 2016,2016,http://iifftampa.com/
Indianapolis International Film Festival,Film,IN,Indianapolis,39.7683331,-86.1583502,Active,May,2004,,,,
Indy Irish Festival,Culture,IN,Indianapolis,39.7683331,-86.1583502,Active,September,1995,,,,
International Biscuit Festival,Food,TN,Knoxville,35.9603948,-83.9210261,Active,May,2010,Organizer,Knoxville was stoped in 2018 because low number of volunteers and many other reasons,2018,https://www.knoxnews.com/story/entertainment/dining/2018/02/13/knoxvilles-international-biscuit-festival-take-break-2018/333264002/
International Black Women's Film Festival,Film,CA,San Francisco,37.7792808,-122.4192363,Active,November,2001,,,,
International Cherry Blossom Festival,Nature,GA,Macon,32.8406946,-83.6324022,Active,March,1982,,,,
International Children's Festival,Culture,DC,Washington,38.8950092,-77.0365625,Active,April,2008,,,,
International Children's Festival at Wolf Trap,Culture,VA,Fairfax County,38.8156356,-77.2836849,Inactive,September,1971,Financial,"By the end of 2011, it was decided to conclude the tradition, amid financial issues.",2011,https://en.wikipedia.org/wiki/International_Children%27s_Festival_at_Wolf_Trap
International Rice Festival,Food,LA,Crowley,38.3394806,-103.8263042,Active,October,1937,,,,
Intonation Music Festival,Music,IL,Chicago,41.8755616,-87.6244212,Active,July,2005,,,,
Iowa State Fair,Culture,IA,Des Moines,41.5910641,-93.6037149,Active,August,1854,,,,
Isle of Eight Flags Shrimp Festival,Food,FL,Fernandina Beach,30.6696818,-81.4625919,Active,May,1964,,,,
Italian Heritage Festival,Culture,WV,Wheeling,40.0639616,-80.7209149,Active,July,1979,,,,
Jackson County Apple Festival,Food,OH,Jackson,39.0131871,-82.6089043,Active,September,1937,,,,
Jacksonville Film Festival,Film,FL,Jacksonville,30.3321838,-81.655651,Active,May,2003,,,,
JAPAN CUTS: The New York Festival of Contemporary Japanese Cinema,Film,NY,New York City,40.7308619,-73.9871558,Active,July,2007,,,,
Jazz And Heritage Festival,Culture,LA,New Orleans,29.9499323,-90.0701156,Active,April;May,1970,,,,
Jazz at the Lake: Lake George Jazz Weekend,Music,NY,Lake George,43.6276486,-73.5497735823113,Active,September,1984,,,,
JazzReggae Festival @ UCLA,Music,CA,Los Angeles,34.0536834,-118.2427669,Active,April,1986,,,,
Johnny Appleseed Festival,Culture,IN,Fort Wayne,41.0799898,-85.1386015,Active,September;October,1974,,,,
KahBang Film Festival,Film,ME,Bangor,44.8011821,-68.7778138,Inactive,August,2009,Financial,"On July 31, 2014, KahBang director Joshua Gass announced that the music portion of the festival had been cancelled and told fans that ""several setbacks in planning, including the loss of sponsors, made it difficult to stage the acts.""[6] The KahBang Brew Fest had already been cancelled two weeks previous to the announcement.",2014,https://en.wikipedia.org/wiki/KahBang_Music_and_Art_Festival
Kansas City Irish Fest,Culture,MO,Kansas City,39.100105,-94.5781416,Active,August;September,2003,,,,
Kansas City Renaissance Festival,Art,KS,Bonner Springs,39.059726,-94.8835754,Active,August;September;October,1977,,,,
KC Beer Fest,Beer,MI,Kansas City,39.100105,-94.5781416,Active,September,2008,,,,
Kentucky Apple Festival,Food,KY,Paintsville,37.8145384,-82.8071054,Active,August,1962,,,,
Kentucky Derby Festival,Sport,KY,Louisville,38.2542376,-85.759407,Active,May,1935,Weather,"After the floods of 1937, the festival was discontinued and it was not until 1956 when the modern-day Kentucky Derby Festival was reborn.",1937,https://en.wikipedia.org/wiki/Kentucky_Derby_Festival
Kentucky Shakespeare Festival,Art,KY,Louisville,38.2542376,-85.759407,Active,May;June;July;August,1969,,,,
Kerrville Folk Festival,Music,TX,Kerrville,30.0474332,-99.1403189,Active,May;June,1972,,,,
King Biscuit Blues Festival,Music,AR,Helena,34.5295471,-90.5917722,Active,October,1986,,,,
Kosherfest,Food,NJ,Secaucus,40.7899291,-74.0566735,Active,November,1989,,,,
Kumquat Festival,Food,FL,Dade City,28.3647248,-82.1959178,Active,January,1997,,,,
Kutztown Folk Festival,Culture,PA,Kutztown,40.5173165,-75.7774177,Active,June;July,1950,,,,
L.A. Comedy Shorts Film Festival,Film,CA,Los Angeles,34.0536834,-118.2427669,Active,April,2009,,,,
La Quinta Arts Festival,Art,CA,La Quinta,33.677474,-116.2958789,Active,March,1982,,,,
Lakeville Arts & Music Festival,Music,MA,Lakeville,41.8459353,-70.9494854,Active,October,2004,,,,
Langerado Music Festival,Music,FL,Sunrise,26.1482449,-80.3288859410087,Inactive,February;March,2003,Financial;Low attendance ,"In 2009 the festival was to be moved to Miami, but on February 3, 2009, it was announced that Langerado 2009 would be canceled due to sluggish ticket sales.On June 1, 2011 tickets went on sale for the 2011 festival.[4] The 2011 festival was cancelled again on September 3, 2011 by Boros Entertainment and C3 Presents due to low ticket sales.",2009;2011,https://en.wikipedia.org/wiki/Langerado
Las Vegas Uncork'd,Food,NV,Las Vegas,36.1662859,-115.149225,Active,May,2007,,,,
Lauderdale County Tomato Festival,Food,TN,Ripley,35.7453551,-89.5297973,Active,July,1984,,,,
LEAF Festival,Art,NC,Black Mountain,35.6178951,-82.3212302,Active,May,1995,,,,
Levitate Music and Arts Festival,Music,MA,Marshfield,42.091769,-70.7055941,Active,July,2013,,,,
Lexington Barbecue Festival,Food,NC,Lexington,35.8240265,-80.2533838,Active,October,1984,,,,
Life is Good Arts and Music Festival,Music,NV,Las Vegas,36.1662859,-115.149225,Active,September,2013,,,,
Lifest,Music,WI,Oshkosh,44.0206919,-88.5408574,Active,July,1999,,,,
Lilac Festival,Nature,NY,Rochester,43.157285,-77.615214,Active,May,1898,,,,
Little Italy Festival,Culture,IN,Clinton,40.2992769,-86.4692735,Active,September,1966,,,,
Little Rock Film Festival,Film,AR,Little Rock,34.7464809,-92.2895948,Active,June,2005,,,,
Lockn' Festival,Music,VA,Arrington,37.6840306,-78.9011326,Active,September,2013,,,,
Lollapalooza,Music,IL,Chicago,41.8755616,-87.6244212,Active,August,1991,,,,
Lompoc Valley Flower Festival,Nature,CA,Lompoc,34.6391501,-120.4579409,Active,June,1952,,,,
Lone Star Chili Cook-off,Food,NY,New York City,40.7308619,-73.9871558,Active,May,1994,,,,
Long Beach Blues Festival,Music,CA,Long Beach,33.78538945,-118.158049315311,Inactive,September,1980,Financial,"In 2010, the Blues Festival went on hiatus because of economic conditions and was replaced with a one-day Blues Bash held at the Carpenter Performing Arts Center on the CSULB campus.",2010,https://en.wikipedia.org/wiki/Long_Beach_Blues_Festival#cite_note-2010pt-4
Los Angeles Asian Pacific Film Festival,Film,CA,Los Angeles,34.0536834,-118.2427669,Active,May,1983,,,,
Los Angeles Film Festival,Film,CA,Los Angeles,34.0536834,-118.2427669,Active,June,1995,,,,
Los Angeles Tofu Festival,Food,CA,Los Angeles,34.0536834,-118.2427669,Inactive,August,1995,Venue,"From 1995 to 2007. Due to ongoing redevelopment in Little Tokyo there is no longer enough space to hold a festival of the size of Tofu Fest, and it has been canceled indefinitely, the last festival being held in 2007.",2007,https://web.archive.org/web/20170825143310/https://la.eater.com/2008/7/28/6789971/rip-los-angeles-tofu-festival
LouFest,Music,MO,St. Louis,38.6268039,-90.1994097,Inactive,August,2010,Financial,"On September 5, 2018, LouFest was canceled only days before the event was supposed to take place due to “the loss of two of the event’s top sponsors, scheduling and contract issues with major artists, and existing debt from previous events.""",2018,https://www.billboard.com/articles/business/8473719/loufest-2018-canceled-st-louis-music-festival
Louisiana Fur and Wildlife Festival,Food,LA,Cameron,41.4586993,-78.1931833,Active,January,1955,,,,
Love Your Shorts Film Festival,Film,FL,Sanford,28.8117179,-81.2680328,Active,February,2010,,,,
Lowell Folk Festival,Culture,MA,Lowell,42.6334247,-71.3161718,Active,July,1990,,,,
Maha Music Festival,Music,NE,Omaha,41.2587317,-95.9378732,Active,August,2009,,,,
Mardi Gras in New Orleans,Culture,LA,New Orleans,29.9499323,-90.0701156,Active,March,1699,,,,
Margaret Mead Film Festival,Film,NY,New York City,40.7308619,-73.9871558,Active,October,1976,,,,
Marion Popcorn Festival,Food,OH,Marion,40.5885271,-83.1895249,Active,September,1981,,,,
Martha's Vineyard Film Festival,Film,MA,Chilmark,41.3431688,-70.7447501,Active,March,2001,,,,
Martha's Vineyard International Film Festival,Film,MA,Martha's Vineyard,39.07493125,-94.4170703243503,Active,September,2006,,,,
Maryland Film Festival,Film,MD,Baltimore,39.2847494,-76.6204746396999,Active,March,1999,,,,
Maryland Renaissance Festival,Art,MD,Crownsville,39.0284438,-76.6013536,Inactive,August;September;October,1977,Unknow,The Festival has ended for 2018. ,2018,http://www.rennfest.com/
Masterworks festival,Music,SC,Spartanburg,34.9498007,-81.9320157,Active,June;July,1997,,,,
May Day Music Festival,Music,NY,Clinton,44.7278943,-73.6686982,Active,May,1991,,,,
Memphis in May,Food,TN,Memphis,35.1490215,-90.0516285,Active,May,1977,,,,
Mendocino Music Festival,Music,CA,Mendocino,39.3176491,-123.4126399,Active,July,1986,,,,
Merlefest,Music,NC,Wilkesboro,36.145965,-81.1606401,Active,April,1988,,,,
Merrie Monarch Festival,Music,HI,Hilo,19.707243,-155.081635,Active,April,1963,,,,
Miami Short Film Festival,Film,FL,Miami,25.7742658,-80.1936589,Active,November,2002,,,,
Michigan Womyn's Music Festival,Culture,MI,Hart,43.698341,-86.363965,Inactive,August,1976,Unknow,The festival held its final event in August 2015,2016,https://www.advocate.com/michfest/2015/04/21/years-michigan-womyns-music-festival-will-be-last
MidPoint Music Festival,Music,OH,Cincinnati,39.1014537,-84.5124602,Inactive,september,2001,Venue,"The MidPoint Music Festival won't happen this year, the festival's owner told The Enquirer Friday. That's if the outdoor stage for the music venue at The Banks gets built by September or October of 2019. If not, then MidPoint will return in 2020, he said.",2019,https://www.cincinnati.com/story/entertainment/2018/08/24/midpoint-music-festival-hiatus-until-banks-music-venue-gets-built/1083029002/
Mile High Horror Film Festival,Film,CO,Denver,39.7392364,-104.9848623,Active,May,2010,,,,
Mile High Music Festival,Music,CO,Commerce City,39.8389525,-104.922045785116,Active,July;August,2008,Financial,"2010 was the last year and promoter AEG announced that the festival would be cancelled for 2011 ""due to the economy""",2011,https://archive.is/20140113103358/http://www.9news.com/news/article/184232/151/mile-high-music-festival-cancelled-
Minneapolis Aquatennial,Sport,MN,Minneapolis,44.9772995,-93.2654692,Active,July,1940,,,,
Minneapolis St. Paul International Film Festival,Film,MN,Minneapolis-St. Paul,44.07517895,-95.6656745942574,Active,March,1962,,,,
Minnesota Renaissance Festival,Art,MI,Shakopee,44.7980186,-93.5268986,Active,August;September,1971,,,,
Missouri Chamber Music Festival,Music,MO,Webster Groves,38.586494,-90.3557751772251,Active,June,2010,,,,
moe.down,Music,NY,Turin,43.627378,-75.41153,Active,July,2001,,,,
Montclair Film Festival,Film,NJ,Montclair,40.8259332,-74.2090344,Active,May,2014,,,,
Moogfest,Music,NC,Asheville,35.6009498,-82.5540161,Active,May,2004,,,,
Moon River Music Festival,Music,TN,Memphis,35.1490215,-90.0516285,Active,September,2014,,,,
Moondance International Film Festival,Film,CO,Boulder,40.0149856,-105.2705456,Active,May,1999,,,,
Moonrise Festival,Music,MD,Baltimore,39.2847494,-76.6204746396999,Active,August,2014,,,,
Morelia International Film Festival,Film,MX,Morelia,32.207068,-110.8068866,Active,October,2003,,,,
Morton Pumpkin Festival,Food,LI,Morton,40.6127349,-89.459323,Active,September,1967,,,,
Mother Earth News Fair,Nature,US,,39.7837304,-100.4458825,Active,N/A,1937,,,,
Mountain Jam,Music,NY,Hunter,42.2136987,-74.2187541,Active,May,2004,,,,
Move Music Festival,Music,NY,Albany,42.6511674,-73.754968,Active,April,2012,,,,
Mushroom festival,Food,PA,Chester County,39.9829308,-75.7652424,Active,September,1896,,,,
Music from Salem,Music,NY,Washington County,43.2294536,-73.4471343,Active,October,1985,,,,
Music Midtown,Music,GA,Atlanta,33.7490987,-84.3901849,Active,September,1994,,,,
MusicfestNW,Music,OR,Portland,45.5202471,-122.6741949,Active,August,2001,,,,
MusicNOW Festival,Music,OH,Cincinnati,39.1014537,-84.5124602,Active,April,2006,,,,
Musikfest,Music,PA,Bethlehem,40.6178915,-75.3786521,Active,August,1984,,,,
Nantucket Film Festival,Film,MA,Nantucket,41.2657181,-70.0683144,Active,June,1996,,,,
Naperville Independent Film Festival,Film,IL,Naperville,41.7728699,-88.1479278,Active,February,2008,,,,
Naples Grape Festival,Food,NY,Naples,42.6160647,-77.4030253,Active,September,1961,,,,
Naples Winter Wine Festival,Food,FL,Naples,26.1421976,-81.7942944,Active,January,2001,,,,
Narrows Winter Blues Festival,Music,MA,Fall River,41.7010642,-71.1546367,Active,January,2014,,,,
Nashville Film Festival,Film,TN,Nashville,36.1622296,-86.7743531,Active,October,1969,,,,
Nashville Oktoberfest,Beer,TN,Nashville,36.1622296,-86.7743531,Active,October,1980,,,,
Nashville Shakespeare Festival,Art,TN,Nashville,36.1622296,-86.7743531,Active,August;September,1988,,,,
National Buffalo Wing Festival,Food,NY,Buffalo,42.8867166,-78.8783922,Active,August;September,2002,,,,
National Cherry Blossom Festival,Nature,DC,Washington,38.8950092,-77.0365625,Active,March,1912,,,,
National Cherry Festival,Food,MI,Traverse City,44.7606441,-85.6165301,Active,July,1925,,,,
National Cornbread Festival National Cornbread Festival,Food,TN,South Pittsburg,35.0122635,-85.7058445,Active,April,1996,,,,
National Film Festival for Talented Youth,Film,WA,Seattle,47.6038321,-122.3300624,Active,October,2007,,,,
National Lentil Festival,Food,WA,Pullman,46.7304268,-117.173895,Active,August,1989,,,,
National Peanut Festival,Food,AL,Dothan,31.2232313,-85.3904889,Active,November,1938,,,,
National Strawberry Festival,Food,MI,Belleville,42.2048414,-83.4852106,Active,June,1977,,,,
Native American Film and Video Festival,Film,NY,New York City,40.7308619,-73.9871558,Inactive,N/A,1979,Unknow,No website showing update information.,2019,https://americanindian.si.edu/explore/film-media/
NEARfest,Music,PA,Bethlehem,40.6178915,-75.3786521,Inactive,May,1998,Financial,"On March 25, 2011, due to insufficient ticket sales, the management announced that 2011 edition had been cancelled.On October 13, 2011, Hutchinson and LaDuca returned to the helm and, along with Feeley, announced that NEARfest would return in 2012.[4] Additionally, on October 17, 2011, a subsequent announcement indicated that NEARfest Apocalypse, held the weekend of June 22, 23, and 24th, 2012, would be the final edition of the festival.",2012,https://en.wikipedia.org/wiki/NEARfest
Nekocon,Culture,VA,Hampton,37.0300969,-76.3452057,Active,November,1998,,,,
Nelsonville Music Festival,Music,OH,Nelsonville,39.458681,-82.2318156,Active,May;June,2005,,,,
Neptune Festival,Culture,VA,Virginia Beach,36.7953025,-76.0509251225811,Active,September,1974,,,,
Never Say Never Festival,Music,TX,Mission,26.2159066,-98.3252932,Active,March,2009,,,,
New Bedford Folk Festival,Music,MA,New Bedford,41.6362152,-70.934205,Active,July,1995,,,,
New England Blues Summit,Music,MA,Sturbridge,42.108428,-72.0786871,Inactive,August,2015,Unknow,"To all our friends and supporters, we are disappointed to announce that there will not be a 4th New England Blues Summit in 2019. We could not come to a practical arrangement with the resort. Our team was thrilled to present the shows we organized and we will be on the lookout for a suitable location for 2020. Thanks again to all who enjoyed our shows. We will be posting our other live shows here.",2019,https://www.facebook.com/NewEnglandBluesSummit/
New England Folk Festival,Music,MA,Concord,42.4605189,-71.3488963,Active,April,1944,,,,
New Hampshire Music Festival,Music,NH,Plymouth,43.757209,-71.688538,Active,July;August,1952,,,,
New Jersey Folk Festival,Culture,NJ,New Brunswick,40.4862174,-74.4518173,Active,April,1975,,,,
New Orleans Film Festival,Film,LA,New Orleans,29.9499323,-90.0701156,Active,August,1989,,,,
New Orleans Jazz & Heritage Festival,Music,LA,New Orleans,29.9499323,-90.0701156,Active,April;May,1970,,,,
New York City Independent Film Festival,Film,NY,New York City,40.7308619,-73.9871558,Active,May,2009,,,,
New York Film Festival,Film,NY,New York City,40.7308619,-73.9871558,Active,September;October,1963,,,,
New York International Children's Film Festival,Film,NY,New York City,40.7308619,-73.9871558,Active,February;March,1997,,,,
New York Renaissance Faire,Art,NY,Tuxedo,41.1942928,-74.1843491,Active,August;September;October,1977,,,,
New York Summer Music Festival,Music,NY,Oneonta,42.453492,-75.0629531,Inactive,May;June,2006,Low attendance,"“It is with deep regret that we write to inform you that New York Summer Music Festival will close at the end of the 2015 calendar year,” the message reads. “This decision, reached by the NYSMF board, did not come lightly. We exhaustively explored many options to keep our doors open, but our continued existence has unfortunately become insurmountable.”",2015,https://www.thedailystar.com/news/local_news/music-festival-s-end-saddens-many/article_b6c8b300-ae75-586c-90f4-2051132adcf8.html
New York's Village Halloween Parade,Alternative,NY,New York,40.7308619,-73.9871558,Active,October,1973,,,,
Newburyport Riverfront Music Festival,Music,MA,Newburyport,42.8125913,-70.8772751,Active,September,2001,,,,
Newfest,Culture,NY,New York,40.7308619,-73.9871558,Active,N/A,1988,,,,
Newport Beach Film Festival,Film,CA,Newport Beach,33.6170092,-117.9294401,Active,April,1999,,,,
Newport Folk Festival,Music,RI,Newport,41.4899827,-71.3137707,Active,July,1959,,,,
"Newport Jazz Festival, Newport",Music,RI,Newport,41.4899827,-71.3137707,Active,August,1954,,,,
"Newport Music Festival, Newport",Music,RI,Newport,41.4899827,-71.3137707,Active,July,1959,,,,
Nisei Week,Culture,CA,Los Angeles,34.0536834,-118.2427669,Active,August,1934,,,,
North Carolina Potato Festival,Food,NC,Northeastern North Carolina,35.9498716,-77.7790199275209,Active,May,1940,Unknow,Short stoped from 1970 to 2001,1970,https://en.wikipedia.org/wiki/North_Carolina_Potato_Festival
North Carolina School of the Arts Summer Performance Festival,Art,NC,Manteo,35.9082257,-75.6757303,Active,June;July;August,1997,,,,
North Carolina Watermelon Festival,Food,NC,Raleigh,35.7803977,-78.6390989,Active,July;August,1957,,,,
North Carolina Wine Festival,Food,NC,Clemmons,36.0215258,-80.3819984,Active,May,2000,,,,
North Fair Oaks Festival,Food,CA,San Mateo,37.496904,-122.3330573,Active,August,2000,,,,
North River Blues Festival,Music,MA,Marshfield,42.091769,-70.7055941,Active,August,1995,,,,
North Texas Irish Festival,Culture,TX,Dallas,32.7762719,-96.7968559,Active,March,1983,,,,
Northeast Film Festival,Film,NJ,Teaneck,40.8983424,-74.0142332,Active,September,2015,,,,
Northwest Folklife Festival,Culture,WA,Seattle,47.6038321,-122.3300624,Active,May,1971,,,,
Norwalk Oyster Festival,Food,CT,Norwalk,41.1175966,-73.4078968,Active,September,1977,,,,
NY Green Fest,Nature,NY,Alfred,42.2542366,-77.7905509,Active,June,1982,,,,
Off the Grid,Food,CA,San Francisco Bay Area,37.7884969,-122.3558473,Active,June,2010,,,,
Ohio Brew Week,Beer,OH,Athens,39.3289242,-82.1012479,Active,July,2005,,,,
Ojai Music Festival,Music,CA,Ojai,34.4480495,-119.242889,Active,June,1947,,,,
Oktoberfest Zinzinnati,Beer,OH,Cincinnati,39.1014537,-84.5124602,Active,September,1976,,,,
Old Settler's Music Festival,Music,TX,Driftwood,30.1229876,-98.0308425,Active,April,1987,,,,
Old Songs Festival,Music,NY,Altamont,42.7006324,-74.0337382,Active,June,1981,,,,
One Spark crowdfunding festival,Technology,FL,Jacksonville,30.3321838,-81.655651,Active,October,2013,,,,
Opera Theatre of Saint Louis,Music,MO,St. Louis,38.6268039,-90.1994097,Active,May,1976,,,,
Oregon Brewers Festival,Beer,OR,Portland,45.5202471,-122.6741949,Active,July,1988,,,,
Oregon Shakespeare Festival,Art,OR,Ashland,42.1972487,-122.7153995,Active,February;March;April;May;June;July;August;September;October;November,,,,,
Oregon Shakespeare Festival,Art,OR,Ashland,42.1972487,-122.7153995,Active,April;May;June;July;August;September;October,1935,,,,
Orlando Film Festival,Film,FL,Orlando,28.5421097,-81.3790388,Active,October,2006,,,,
Outfest,Culture,CA,Los Angeles,34.0536834,-118.2427669,Active,July,1982,,,,
"Outside Lands Music and Arts Festival, San Francisco",Music,CA,San Francisco,37.7792808,-122.4192363,Active,August,2008,,,,
Ozark Music Festival,Music,MO,Sedalia,38.7098314,-93.2295515,Inactive,July,1974,Management,"The Missouri Senate met in October 1974 and discussed the events of the music festival in the committee report. The report states that, ""The Ozark Music Festival can only be described as a disaster. It became a haven for drug pushers who were attracted from throughout the United States. The scene made the degradation of Sodom and Gomorrah appear mild. Natural and unnatural sex acts became a spectator sport. Frequently, nude women promoted drugs with advertisements on their bodies.""",1974,https://en.wikipedia.org/wiki/Missouri_State_Highway_Patrol
Paint Louis,Music,MO,St. Louis,38.6268039,-90.1994097,Active,August;September,1997,,,,
Palm Springs Festival of Festivals,Film,CA,Palm Springs,33.8246269,-116.540303,Active,October;November,2001,,,,
Palm Springs International Film Festival,Film,CA,Palm Springs,33.8246269,-116.540303,Active,January,1989,,,,
Parker County Peach Festival,Food,TX,Weatherford,32.7589648,-97.7970748,Active,July,1984,,,,
Paso Robles Wine Festival,Food,CA,Paso Robles,35.6267654,-120.6912456,Active,May,1982,,,,
PeaceOUT World Homo Hop Festival,Culture,CA,Oakland,37.8044557,-122.2713563,Inactive,August,2001,Unknown,"Despite initial plans to continue with PeaceOUT as a biannual event following the 2007 festival, Kalamka decided to close the event permanently in July 2008. The official website is currently maintained as a permanent historical archive of the festival.",2008,http://www.dazeddigital.com/music/article/34157/1/queer-hip-hop-history-california
Pecan Street Festival,Art,TX,Austin,30.2711286,-97.7436995,Active,May,1978,,,,
Pennsylvania Shakespeare Festival,Art,PA,Center Valley,40.529266,-75.393236,Active,June;July;August,1992,,,,
Pepper Jelly Festival,Culture,AL,Thomaston,32.2666151,-87.6253429,Active,April,1986,,,,
Philadelphia Film Festival,Film,PN,Philadelphia,39.9524152,-75.1635755,Active,October,1991,,,,
Rose Parade,Nature,CA,Pasadena,34.1476452,-118.1444779,Active,January,1890,,,,
Philadelphia Flower Show,Nature,PA,Philadelphia,39.9524152,-75.1635755,Active,February;March,1827,,,,
Philadelphia Folk Festival,Music,PA,Philadelphia,39.9524152,-75.1635755,Active,August,1962,,,,
Philly Beer Week,Beer,PA,Philadelphia,39.9524152,-75.1635755,Active,May;June,2007,,,,
Phoenicia International Festival of the Voice,Music,NY,Phoenicia,42.0848126,-74.3154254,Active,August,2010,,,,
Pierogi Fest,Food,IN,Whiting,41.6797578,-87.4944873,Active,July,1994,,,,
Pitchfork Music Festival,Music,IL,Chicago,41.8755616,-87.6244212,Active,July,2006,,,,
Pittsburgh Folk Festival,Culture,PA,Pittsburgh,40.4416941,-79.9900861,Inactive,September,1956,Unknow,"After 63 years, a long-standing Pittsburgh institution is getting a makeover and right now inactive in their activities and webpage in 2017.",2017,https://www.pghfolkfest.org/
Pittsburgh Whiskey & Fine Spirits Festival,Food,PA,Pittsburgh,40.4416941,-79.9900861,Active,October,2007,,,,
Pittsburgh Wine Festival,Food,PA,Pittsburgh,40.4416941,-79.9900861,Active,June,2003,,,,
Pleasantville Music Festival,Music,NY,Pleasantville,41.1328736,-73.7926335,Active,July,2005,,,,
Pointfest,Music,MO,Maryland Heights,38.7131073,-90.4298401,Active,May,1993,,,,
Porcupine Freedom Festival,Alternative,NT,Lancaster,40.08067,-76.2411283,Active,June,2001,,,,
"Pork, Peanut, and Pine Festival",Food,VA,Surry County,37.1118778,-76.895924,Inactive,July,1975,Low attendance,"Pork, Peanut and Pine Festival organizers have folded up the tents for 2019 and are taking a wait-and-see attitude for the future.Kenny Pittman, who has recently resigned as PPP Board chairman, said the two days of rain this year caused a steep decline in attendance.
There were more workers than festivalgoers, he said.",2019,https://smithfieldtimes.com/index.php/news/all-news/3180-no-pork-peanut-pine-festival-for-2019
Port Townsend Film Festival,Film,WA,Port Townsend,48.1185325,-122.7679629,Active,April,1999,,,,
Portland International Beerfest,Beer,OR,Portland,45.5202471,-122.6741949,Active,June,2001,,,,
Portland International Film Festival,Film,OR,Portland,45.5202471,-122.6741949,Active,March,1977,,,,
Portland Rose Festival,Nature,OR,Portland,45.5202471,-122.6741949,Active,May;June,1907,,,,
Portugal Day Festival,Culture,NJ,Newark,40.735657,-74.1723667,Active,June,1933,,,,
Project Twenty1 Film Festival,Film,PN,Philadelphia,39.9524152,-75.1635755,Inactive,September,2006,,"Unknow, Institute only held one festival",2006,
Pungo Strawberry Festival,Food,VA,Virginia Beach,36.7953025,-76.0509251225811,Active,May,1983,,,,
Pygmalion Music Festival,Music,IL,Champaign-Urbana,40.101976,-88.2314378,Active,,2005,,,,
QFest,Film,PN,Philadelphia,39.9524152,-75.1635755,Inactive,July,1997,Financial,"In 2014 QFest was canceled for the first year since its founding in 1995. Due to lack of fundraising and the unavailability of Raymond Murray to lead the film programming, the festival was postponed and then canceled for the year. It lacked the visibility, influence and longevity of the more recent festival.",2014,
Rainbow Gathering,Alternative,US,worldwide,45.5591381,-122.638103,Active,July,1972,,,,
RavenCon,Technology,VA,Richmond,37.5385087,-77.43428,Active,April,2006,,,,
Red River Revel,Art,LA,Shreveport,32.5221828,-93.7651944,Active,October,1976,,,,
Red Rock Film Festival,Film,UT,St. George,37.104153,-113.5841313,Active,November,1991,,,,
Redemptive Film Festival,Film,VA,Virginia Beach,36.7953025,-76.0509251225811,Inactive,November,2006,Financial,"After seven successful seasons, and receiving hundreds of submissions from some 44 countries on six continents, the festival took an hiatus while its founder, Media Professional, Dr. Chris Cunningham took time to plant a church.",2013,https://www.kickstarter.com/projects/881535414/help-bring-back-the-redemptive-film-festival
ReelAbilities,Film,NY,New York City,40.7308619,-73.9871558,Active,April,2007,,,,
Reggae on the River,Music,CA,Humboldt County,40.5997415,-123.8997734,Active,August,1984,,,,
